url,page_type,group_id,service_slug,province,visible_main_text_words,h1,indexable,sitemap,inbound_links,trust_issue,in_audit,in_batch11
"/รับซื้อ/รับซื้อโดรน-สกลนคร","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","สกลนคร","226","รับซื้อ โดรนและกล้อง Action Cam สกลนคร ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-สุรินทร์","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","สุรินทร์","229","รับซื้อ โดรนและกล้อง Action Cam สุรินทร์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-หนองคาย","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","หนองคาย","226","รับซื้อ โดรนและกล้อง Action Cam หนองคาย ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-หนองบัวลำภู","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","หนองบัวลำภู","232","รับซื้อ โดรนและกล้อง Action Cam หนองบัวลำภู ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-อำนาจเจริญ","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","อำนาจเจริญ","226","รับซื้อ โดรนและกล้อง Action Cam อำนาจเจริญ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-อุดรธานี","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","อุดรธานี","229","รับซื้อ โดรนและกล้อง Action Cam อุดรธานี ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-อุบลราชธานี","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","อุบลราชธานี","229","รับซื้อ โดรนและกล้อง Action Cam อุบลราชธานี ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อทีวี-กาฬสินธุ์","service-x-location","G-SA-รับซื้อทีวี","รับซื้อทีวี","กาฬสินธุ์","222","รับซื้อ ทีวีและโทรทัศน์ กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อทีวี-ขอนแก่น","service-x-location","G-SA-รับซื้อทีวี","รับซื้อทีวี","ขอนแก่น","216","รับซื้อ ทีวีและโทรทัศน์ ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อทีวี-ชัยภูมิ","service-x-location","G-SA-รับซื้อทีวี","รับซื้อทีวี","ชัยภูมิ","219","รับซื้อ ทีวีและโทรทัศน์ ชัยภูมิ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
