rule_id,source,source_variant,existing_destination,resolved_final_target,www_destination,host,status_code_phase_a,status_code_phase_b,preserve_query,rule_order,generated_from,included,exclusion_reason
WWW-R0209,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%AA%E0%B8%B0%E0%B9%80%E0%B8%81%E0%B8%A9,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,209,R0209,yes,
WWW-R0210,/รับซื้อ/รับซื้อของสะสม-สกลนคร,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,210,R0210,yes,
WWW-R0211,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%AA%E0%B8%81%E0%B8%A5%E0%B8%99%E0%B8%84%E0%B8%A3,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,211,R0211,yes,
WWW-R0212,/รับซื้อ/รับซื้อของสะสม-สุรินทร์,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,212,R0212,yes,
WWW-R0213,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,213,R0213,yes,
WWW-R0214,/รับซื้อ/รับซื้อของสะสม-หนองคาย,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,214,R0214,yes,
WWW-R0215,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%AB%E0%B8%99%E0%B8%AD%E0%B8%87%E0%B8%84%E0%B8%B2%E0%B8%A2,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,215,R0215,yes,
WWW-R0216,/รับซื้อ/รับซื้อของสะสม-หนองบัวลำภู,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,216,R0216,yes,
WWW-R0217,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%AB%E0%B8%99%E0%B8%AD%E0%B8%87%E0%B8%9A%E0%B8%B1%E0%B8%A7%E0%B8%A5%E0%B8%B3%E0%B8%A0%E0%B8%B9,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,217,R0217,yes,
WWW-R0218,/รับซื้อ/รับซื้อของสะสม-อำนาจเจริญ,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,218,R0218,yes,
