source_url,source_file,text_before,text_after,link_destination,anchor,semantic_change,reason,status
"/รับซื้อ/รับซื้อ-airpods-สุรินทร์","","(no link)","รับซื้อ คอมพิวเตอร์ ในสุรินทร์","/รับซื้อ/รับซื้อคอมพิวเตอร์-สุรินทร์","รับซื้อ คอมพิวเตอร์ ในสุรินทร์","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-สุรินทร์","","(no link)","รับซื้อ iPhone ในสุรินทร์","/รับซื้อ/รับซื้อ-iphone-สุรินทร์","รับซื้อ iPhone ในสุรินทร์","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-หนองคาย","","(no link)","รับซื้อ โน๊ตบุ๊ค ในหนองคาย","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-หนองคาย","รับซื้อ โน๊ตบุ๊ค ในหนองคาย","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-หนองคาย","","(no link)","รับซื้อ MacBook ในหนองคาย","/รับซื้อ/รับซื้อ-macbook-หนองคาย","รับซื้อ MacBook ในหนองคาย","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-หนองคาย","","(no link)","รับซื้อ คอมพิวเตอร์ ในหนองคาย","/รับซื้อ/รับซื้อคอมพิวเตอร์-หนองคาย","รับซื้อ คอมพิวเตอร์ ในหนองคาย","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-หนองคาย","","(no link)","รับซื้อ iPhone ในหนองคาย","/รับซื้อ/รับซื้อ-iphone-หนองคาย","รับซื้อ iPhone ในหนองคาย","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-หนองบัวลำภู","","(no link)","รับซื้อ โน๊ตบุ๊ค ในหนองบัวลำภู","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-หนองบัวลำภู","รับซื้อ โน๊ตบุ๊ค ในหนองบัวลำภู","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-หนองบัวลำภู","","(no link)","รับซื้อ MacBook ในหนองบัวลำภู","/รับซื้อ/รับซื้อ-macbook-หนองบัวลำภู","รับซื้อ MacBook ในหนองบัวลำภู","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-หนองบัวลำภู","","(no link)","รับซื้อ คอมพิวเตอร์ ในหนองบัวลำภู","/รับซื้อ/รับซื้อคอมพิวเตอร์-หนองบัวลำภู","รับซื้อ คอมพิวเตอร์ ในหนองบัวลำภู","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-หนองบัวลำภู","","(no link)","รับซื้อ iPhone ในหนองบัวลำภู","/รับซื้อ/รับซื้อ-iphone-หนองบัวลำภู","รับซื้อ iPhone ในหนองบัวลำภู","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-อำนาจเจริญ","","(no link)","รับซื้อ โน๊ตบุ๊ค ในอำนาจเจริญ","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-อำนาจเจริญ","รับซื้อ โน๊ตบุ๊ค ในอำนาจเจริญ","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-อำนาจเจริญ","","(no link)","รับซื้อ MacBook ในอำนาจเจริญ","/รับซื้อ/รับซื้อ-macbook-อำนาจเจริญ","รับซื้อ MacBook ในอำนาจเจริญ","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-อำนาจเจริญ","","(no link)","รับซื้อ คอมพิวเตอร์ ในอำนาจเจริญ","/รับซื้อ/รับซื้อคอมพิวเตอร์-อำนาจเจริญ","รับซื้อ คอมพิวเตอร์ ในอำนาจเจริญ","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-อำนาจเจริญ","","(no link)","รับซื้อ iPhone ในอำนาจเจริญ","/รับซื้อ/รับซื้อ-iphone-อำนาจเจริญ","รับซื้อ iPhone ในอำนาจเจริญ","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-อุดรธานี","","(no link)","รับซื้อ โน๊ตบุ๊ค ในอุดรธานี","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-อุดรธานี","รับซื้อ โน๊ตบุ๊ค ในอุดรธานี","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-อุดรธานี","","(no link)","รับซื้อ MacBook ในอุดรธานี","/รับซื้อ/รับซื้อ-macbook-อุดรธานี","รับซื้อ MacBook ในอุดรธานี","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-อุดรธานี","","(no link)","รับซื้อ คอมพิวเตอร์ ในอุดรธานี","/รับซื้อ/รับซื้อคอมพิวเตอร์-อุดรธานี","รับซื้อ คอมพิวเตอร์ ในอุดรธานี","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-อุดรธานี","","(no link)","รับซื้อ iPhone ในอุดรธานี","/รับซื้อ/รับซื้อ-iphone-อุดรธานี","รับซื้อ iPhone ในอุดรธานี","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-อุบลราชธานี","","(no link)","รับซื้อโน๊ตบุ๊ค ในอุบลราชธานี","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-อุบลราชธานี","รับซื้อโน๊ตบุ๊ค ในอุบลราชธานี","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-อุบลราชธานี","","(no link)","รับซื้อ MacBook ในอุบลราชธานี","/รับซื้อ/รับซื้อ-macbook-อุบลราชธานี","รับซื้อ MacBook ในอุบลราชธานี","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-อุบลราชธานี","","(no link)","รับซื้อคอมพิวเตอร์ ในอุบลราชธานี","/รับซื้อ/รับซื้อคอมพิวเตอร์-อุบลราชธานี","รับซื้อคอมพิวเตอร์ ในอุบลราชธานี","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-อุบลราชธานี","","(no link)","รับซื้อ iPhone ในอุบลราชธานี","/รับซื้อ/รับซื้อ-iphone-อุบลราชธานี","รับซื้อ iPhone ในอุบลราชธานี","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-เลย","","(no link)","รับซื้อ โน๊ตบุ๊ค ในเลย","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-เลย","รับซื้อ โน๊ตบุ๊ค ในเลย","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-เลย","","(no link)","รับซื้อ MacBook ในเลย","/รับซื้อ/รับซื้อ-macbook-เลย","รับซื้อ MacBook ในเลย","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-เลย","","(no link)","รับซื้อ คอมพิวเตอร์ ในเลย","/รับซื้อ/รับซื้อคอมพิวเตอร์-เลย","รับซื้อ คอมพิวเตอร์ ในเลย","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-เลย","","(no link)","รับซื้อ iPhone ในเลย","/รับซื้อ/รับซื้อ-iphone-เลย","รับซื้อ iPhone ในเลย","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-apple-watch-กาฬสินธุ์","","(no link)","รับซื้อ โน๊ตบุ๊ค ในกาฬสินธุ์","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-กาฬสินธุ์","รับซื้อ โน๊ตบุ๊ค ในกาฬสินธุ์","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-apple-watch-กาฬสินธุ์","","(no link)","รับซื้อ MacBook ในกาฬสินธุ์","/รับซื้อ/รับซื้อ-macbook-กาฬสินธุ์","รับซื้อ MacBook ในกาฬสินธุ์","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-apple-watch-กาฬสินธุ์","","(no link)","รับซื้อ คอมพิวเตอร์ ในกาฬสินธุ์","/รับซื้อ/รับซื้อคอมพิวเตอร์-กาฬสินธุ์","รับซื้อ คอมพิวเตอร์ ในกาฬสินธุ์","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-apple-watch-กาฬสินธุ์","","(no link)","รับซื้อ iPhone ในกาฬสินธุ์","/รับซื้อ/รับซื้อ-iphone-กาฬสินธุ์","รับซื้อ iPhone ในกาฬสินธุ์","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-apple-watch-ขอนแก่น","","(no link)","รับซื้อ โน๊ตบุ๊ค ในขอนแก่น","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-ขอนแก่น","รับซื้อ โน๊ตบุ๊ค ในขอนแก่น","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-apple-watch-ขอนแก่น","","(no link)","รับซื้อ MacBook ในขอนแก่น","/รับซื้อ/รับซื้อ-macbook-ขอนแก่น","รับซื้อ MacBook ในขอนแก่น","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-apple-watch-ขอนแก่น","","(no link)","รับซื้อ คอมพิวเตอร์ ในขอนแก่น","/รับซื้อ/รับซื้อคอมพิวเตอร์-ขอนแก่น","รับซื้อ คอมพิวเตอร์ ในขอนแก่น","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
